zoneID,repVoteshare,totalVotes
17031,29.45,1865907.0
17033,59.88,8500.0
17035,61.32,4975.0
17037,53.67,33233.0
17039,58.03,7051.0
17041,59.55,8152.0
17043,NA,NA
17045,60.04,8232.0
17047,69.34,3260.0
17049,69.99,14485.0
17051,57.23,9338.0
17053,65.04,6153.0
17055,45.42,19212.0
17057,43.69,16277.0
17059,45.86,3558.0
17061,55.69,5767.0
17063,53.68,16584.0
17065,56.45,4587.0
17067,54.68,9691.0
17069,53.57,2637.0
17071,45.69,3866.0
17073,47.75,23470.0
17075,66.39,13424.0
17077,45.49,23090.0
17079,63.21,5021.0
17081,55.57,15360.0
17083,51.9,9413.0
17085,53.64,10322.0
17087,63.02,5362.0
17089,56.15,141405.0
17091,51.11,40183.0
17093,61.85,22769.0
17095,44.08,23174.0
17097,51.26,242164.0
17099,47.67,46007.0
17101,56.02,6578.0
17103,56.9,14620.0
17105,61.18,15421.0
17107,63.9,13065.0
17109,51.53,13012.0
17111,60.41,106185.0
17113,57.7,60898.0
17115,49.55,49499.0
17117,46.95,21389.0
17119,45.25,111104.0
17121,50.53,16663.0
17123,55.03,5907.0
17125,51.66,6772.0
17127,55.8,6744.0
17129,64.09,6202.0
17131,45.6,8318.0
17133,56.83,13796.0
17135,48.76,13093.0
17137,57.73,14334.0
17139,54.73,5725.0
17141,61.63,20601.0
17143,48.53,76812.0
17145,49.69,9942.0
17147,56.98,8385.0
17149,59.54,8112.0
17151,59.22,2330.0
17153,48.51,3016.0
17155,46.44,3179.0
17157,51.2,14287.0
17159,65.45,7428.0
17161,39.89,65095.0
17163,43.05,100393.0
17165,52.23,11650.0
17167,56.74,91485.0
17169,56.69,3772.0
17171,60.45,2469.0
17173,59.29,10163.0
17175,58.31,2989.0
17177,57.06,19378.0
17179,55.41,58348.0
17181,52.48,8660.0
17183,50.6,32100.0
17185,63.16,5508.0
17187,52.53,7631.0
17189,62.27,7138.0
17191,70.76,7693.0
17193,60.45,7637.0
17195,46.62,24837.0
17197,51.32,191670.0
17199,53.47,26939.0
17201,50.87,109297.0
17203,66.36,16793.0
18001,69.38,12590.0
18003,62.85,114320.0
18005,64.25,25769.0
18007,64.77,3874.0
18009,56.21,4893.0
18011,73.43,18396.0
18013,59.75,6817.0
18015,63.25,8268.0
18017,63.23,15106.0
18019,52.8,37336.0
18021,63.94,10158.0
18023,66.22,10991.0
18025,56.15,4209.0
18027,71.82,9761.0
18029,65.54,17650.0
18031,67.91,9171.0
18033,NA,NA
18035,51.43,44147.0
18037,66.57,15504.0
18039,69.14,54482.0
18041,59.71,8647.0
18043,55.52,30030.0
18045,61.87,7281.0
18047,68.32,8339.0
18049,63.81,8327.0
18051,57.14,13772.0
18053,62.45,26386.0
18055,60.34,12619.0
18057,75.8,75926.0
18059,71.03,22950.0
18061,59.74,14896.0
